CellType	DiseaseTissue	Ident1	Ident2	Gene	Log2FC	pval	padj	stat
Cycling_TA	UC_R	I	NI	CCNDBP1	0.2083	0.7295	1	0.3458
Cycling_TA	UC_R	I	NI	ADAL	-0.1853	0.6377	1	-0.4709
Cycling_TA	UC_R	I	NI	ZSCAN29	1.129	0.07829	0.6664	1.761
Cycling_TA	UC_R	I	NI	TUBGCP4	0.5428	0.06233	0.5298	1.864
Cycling_TA	UC_R	I	NI	TP53BP1	0.3522	0.2752	1	1.091
Cycling_TA	UC_R	I	NI	PPIP5K1	0.1861	0.4519	0.7397	0.7523
Cycling_TA	UC_R	I	NI	CKMT1B	0.3689	0.4232	1	0.8008
Cycling_TA	UC_R	I	NI	CATSPER2	-0.1875	0.3572	0.8631	-0.9207
Cycling_TA	UC_R	I	NI	CKMT1A	0.718	0.258	1	1.131
Cycling_TA	UC_R	I	NI	PDIA3	0.3789	0.2443	0.6722	1.164
Cycling_TA	UC_R	I	NI	SERF2	-0.8331	0.0485	0.4774	-1.973
Cycling_TA	UC_R	I	NI	MFAP1	0.4191	0.3801	1	0.8777
Cycling_TA	UC_R	I	NI	WDR76	0.1142	0.6544	1	0.4476
Cycling_TA	UC_R	I	NI	FRMD5	-0.2873	0.2573	0.4774	-1.133
Cycling_TA	UC_R	I	NI	CASC4	0.1711	0.3949	0.7062	0.8508
Cycling_TA	UC_R	I	NI	CTDSPL2	-0.08519	0.5959	0.7129	-0.5303
Cycling_TA	UC_R	I	NI	EIF3J-DT	-0.3663	0.402	1	-0.838
Cycling_TA	UC_R	I	NI	EIF3J	0.2845	0.2892	0.8985	1.06
Cycling_TA	UC_R	I	NI	SPG11	0.03744	0.8132	0.7731	0.2363
Cycling_TA	UC_R	I	NI	PATL2	0.4901	0.3802	1	0.8775
Cycling_TA	UC_R	I	NI	B2M	-1.679	0.003747	0.1077	-2.899
Cycling_TA	UC_R	I	NI	SORD	0.9814	0.02335	0.4769	2.268
Cycling_TA	UC_R	I	NI	AC051619.6	-0.4583	0.394	1	-0.8524
Cycling_TA	UC_R	I	NI	SLC28A2	0.788	0.3006	0.9162	1.035
Cycling_TA	UC_R	I	NI	GATM	2.059	0.009284	0.3028	2.601
Cycling_TA	UC_R	I	NI	SPATA5L1	0.1753	0.5963	1	0.5298
Cycling_TA	UC_R	I	NI	C15orf48	-0.4	0.2659	0.74	-1.112
Cycling_TA	UC_R	I	NI	AC025580.1	0.9575	0.1126	0.7617	1.586
Cycling_TA	UC_R	I	NI	AC025580.2	-0.01273	0.953	1	-0.05888
Cycling_TA	UC_R	I	NI	SLC30A4	-0.4991	0.1237	0.8923	-1.539
Cycling_TA	UC_R	I	NI	BLOC1S6	0.1666	0.6188	1	0.4976
Cycling_TA	UC_R	I	NI	SQOR	0.8551	0.001396	0.07189	3.195
Cycling_TA	UC_R	I	NI	AC012405.1	-0.8209	0.0274	0.4353	-2.206
Cycling_TA	UC_R	I	NI	SEMA6D	1.337	0.005313	0.2025	2.787
Cycling_TA	UC_R	I	NI	MYEF2	-0.3981	0.1882	0.6116	-1.316
Cycling_TA	UC_R	I	NI	DUT	0.169	0.5873	1	0.5427
Cycling_TA	UC_R	I	NI	CEP152	0.2625	0.2335	0.4897	1.191
Cycling_TA	UC_R	I	NI	SECISBP2L	-0.3561	0.1402	0.4796	-1.475
Cycling_TA	UC_R	I	NI	COPS2	0.2385	0.3938	1	0.8527
Cycling_TA	UC_R	I	NI	GALK2	-0.1156	0.5909	1	-0.5375
Cycling_TA	UC_R	I	NI	FAM227B	0.3317	0.4256	1	0.7968
Cycling_TA	UC_R	I	NI	DTWD1	-0.05923	0.8127	0.94	-0.2369
Cycling_TA	UC_R	I	NI	ATP8B4	-0.3718	0.4346	1	-0.7813
Cycling_TA	UC_R	I	NI	SLC27A2	0.902	0.01365	0.3467	2.466
Cycling_TA	UC_R	I	NI	GABPB1	0.1843	0.4097	0.8722	0.8245
Cycling_TA	UC_R	I	NI	GABPB1-IT1	-0.4147	0.318	1	-0.9985
Cycling_TA	UC_R	I	NI	GABPB1-AS1	-0.6493	0.09252	0.4707	-1.682
Cycling_TA	UC_R	I	NI	USP8	-0.1701	0.2943	0.5623	-1.049
Cycling_TA	UC_R	I	NI	TRPM7	-0.06859	0.6302	0.7082	-0.4814
Cycling_TA	UC_R	I	NI	SPPL2A	0.264	0.253	0.6817	1.143
Cycling_TA	UC_R	I	NI	AC021752.1	-0.349	0.586	1	-0.5446
Cycling_TA	UC_R	I	NI	AP4E1	0.3812	0.1111	0.6521	1.593
Cycling_TA	UC_R	I	NI	MIR4713HG	-0.04052	0.9592	1	-0.05115
