Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
NK cell	NK_cell	IFN-β	IFNb	Gsdmd	0.370462064	0.008371332	0.209	0.084
NK cell	NK_cell	IFN-β	IFNb	Bbx	0.36822778	0.001519219	0.279	0.13
NK cell	NK_cell	IFN-β	IFNb	Dph3	0.367212585	0.028173899	0.419	0.259
NK cell	NK_cell	IFN-β	IFNb	Arpc5	0.366774743	0.03720682	0.721	0.552
NK cell	NK_cell	IFN-β	IFNb	Larp7	0.366559616	0.045922789	0.209	0.098
NK cell	NK_cell	IFN-β	IFNb	Pa2g4	0.365601016	0.03715208	0.326	0.194
NK cell	NK_cell	IFN-β	IFNb	Pfdn2	0.36508065	0.004734891	0.55	0.35
NK cell	NK_cell	IFN-β	IFNb	Serpina3f	0.36425262	0.000196491	0.147	0.037
NK cell	NK_cell	IFN-β	IFNb	Fam49b	0.364205223	0.014566331	0.713	0.513
NK cell	NK_cell	IFN-β	IFNb	Slco3a1	0.363947471	0.014567295	0.217	0.091
NK cell	NK_cell	IFN-β	IFNb	Psma4	0.363913759	0.022929948	0.543	0.377
NK cell	NK_cell	IFN-β	IFNb	Ufd1	0.363704056	0.007537343	0.233	0.101
NK cell	NK_cell	IFN-β	IFNb	Aurkaip1	0.363629615	0.023456064	0.504	0.327
NK cell	NK_cell	IFN-β	IFNb	Bag1	0.363411244	0.041108809	0.581	0.391
NK cell	NK_cell	IFN-β	IFNb	Gch1	0.361188967	0.004584267	0.14	0.04
NK cell	NK_cell	IFN-β	IFNb	Wdr43	0.36038679	0.00865164	0.295	0.148
NK cell	NK_cell	IFN-β	IFNb	Snx3	0.360335804	0.038452219	0.527	0.333
NK cell	NK_cell	IFN-β	IFNb	Il10ra	0.360280772	0.046633258	0.357	0.214
NK cell	NK_cell	IFN-β	IFNb	Trim34a	0.358968106	0.006403894	0.209	0.076
NK cell	NK_cell	IFN-β	IFNb	Ndufab1	0.35891705	0.048410688	0.434	0.281
NK cell	NK_cell	IFN-β	IFNb	Nlrc5	0.35840861	0.008654102	0.256	0.13
NK cell	NK_cell	IFN-β	IFNb	Nfkbiz	0.358275817	0.011273539	0.302	0.167
NK cell	NK_cell	IFN-β	IFNb	Asb13	0.356983053	0.004534405	0.194	0.077
NK cell	NK_cell	IFN-β	IFNb	Tor1aip2	0.355933295	0.000115958	0.186	0.057
NK cell	NK_cell	IFN-β	IFNb	Ube2i	0.355892262	0.035729936	0.682	0.51
NK cell	NK_cell	IFN-β	IFNb	Baz1a	0.355392655	0.013149207	0.357	0.215
