Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
B cell	B_cell	IL-18	IL18	Hadhb	0.331015913	0.001109937	0.215	0.098
B cell	B_cell	IL-18	IL18	Man2a1	0.322857723	0.011713239	0.128	0.041
B cell	B_cell	IL-18	IL18	Casp4	0.322322922	0.000869157	0.149	0.054
B cell	B_cell	IL-18	IL18	Nampt	0.322139123	0.023854906	0.161	0.057
B cell	B_cell	IL-18	IL18	Xaf1	0.321647644	0.000491664	0.149	0.05
B cell	B_cell	IL-18	IL18	Ctss	0.321234549	0.022416842	0.769	0.607
B cell	B_cell	IL-18	IL18	Cflar	0.311119089	0.046351188	0.24	0.118
B cell	B_cell	IL-18	IL18	Atp5b	0.302411506	0.025945513	0.653	0.453
B cell	B_cell	IL-18	IL18	Rtp4	0.296131987	0.00057102	0.145	0.053
B cell	B_cell	IL-18	IL18	Mcl1	0.294864728	0.004832941	0.723	0.517
B cell	B_cell	IL-18	IL18	Tprgl	0.294454425	0.046351188	0.302	0.172
B cell	B_cell	IL-18	IL18	Ak6	0.292657757	0.046463082	0.107	0.033
B cell	B_cell	IL-18	IL18	Eif2ak2	0.290723967	0.025850798	0.136	0.047
B cell	B_cell	IL-18	IL18	Bcl7c	0.281830636	0.020425769	0.244	0.112
B cell	B_cell	IL-18	IL18	Zfp945	0.280055818	0.013908632	0.12	0.041
B cell	B_cell	IL-18	IL18	Eif1b	0.278113927	0.025471215	0.36	0.19
B cell	B_cell	IL-18	IL18	Mrps34	0.276901182	0.036441734	0.256	0.13
B cell	B_cell	IL-18	IL18	Mrpl46	0.276782073	0.003413694	0.14	0.049
B cell	B_cell	IL-18	IL18	Gdap10	0.275402815	0.007856419	0.124	0.047
B cell	B_cell	IL-18	IL18	Slamf7	0.273691372	0.031427527	0.14	0.06
B cell	B_cell	IL-18	IL18	Vmp1	0.267074517	0.031427527	0.202	0.104
B cell	B_cell	IL-18	IL18	Cd52	-0.281430722	0.002119081	0.988	0.993
B cell	B_cell	IL-18	IL18	Fcer2a	-0.5802518	0.000208128	0.525	0.629
B cell	B_cell	IL-18	IL18	Vpreb3	-0.657276869	0.030269031	0.289	0.403
B cell	B_cell	IL-18	IL18	Stk17b	-0.721074222	5.42436E-07	0.649	0.736
B cell	B_cell	IL-18	IL18	Ccr7	-0.815149207	0.002981114	0.219	0.309
B cell	B_cell	IL-18	IL18	Cxcr4	-0.875459655	7.6186E-05	0.07	0.222
B cell	B_cell	IL-18	IL18	Fos	-1.106185386	0.046351188	0.19	0.295
B cell	B_cell	IL-33	IL33	Ifi27l2a	0.788605421	8.74026E-08	0.709	0.466
B cell	B_cell	IL-33	IL33	Bst2	0.638656107	1.34282E-06	0.308	0.141
B cell	B_cell	IL-33	IL33	Ly6a	0.634975028	3.74825E-07	0.6	0.359
B cell	B_cell	IL-33	IL33	Stat1	0.600288947	3.63093E-06	0.416	0.215
B cell	B_cell	IL-33	IL33	Irf7	0.552062816	5.85877E-05	0.168	0.049
B cell	B_cell	IL-33	IL33	Slfn2	0.550580832	2.93422E-06	0.569	0.352
B cell	B_cell	IL-33	IL33	Phf11b	0.528561556	7.25324E-06	0.224	0.078
B cell	B_cell	IL-33	IL33	Rnf213	0.519722152	2.06757E-06	0.252	0.091
